num,API,Molecular Weight( g/mol),XLogP3-AA,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotational bond count,Topological surface area( A^2),Heavy atom count,Complexity,LogS,DOSE,Disintegrant,Dose (mg),Disintegrant,Dose (mg),Super_Disintegrant,Dose (mg),Super_Disintegrant,Dose (mg),Diluent,Dose (mg),Diluent,Dose (mg),Binder,Dose (mg),Binder,Dose (mg),Glidant,Dose (mg),Glidant,Dose (mg),Lubricant,Dose (mg),Lubricant,Dose (mg),Lubricant,Dose (mg),pH_modifier,Dose (mg),pH_modifier,Dose (mg),Solubilizer,Dose (mg),Sweeting_agent,Dose (mg),Sweeting_agent,Dose (mg),Viscosity_increasing,Dose (mg),Preservative,Dose (mg),Weight(mg),"Bulk Density
(g/cc , gm/ml , gm/cm³) (Mean)","Tapped Density
(g/cc , gm/ml , gm/cm³) (Mean)","Carr’s Compressibility Index
(%) (Mean)",Hausner Ratio (Mean),Angle of Repose (°) (Mean),HARDNESS,"HARDNESS      (kg/cm2 , kp , kgF)   (SD)",FRIABILITY(%) (mean),FRIABILITY(%) (SD),THICKNESS (mm) (mean),THICKNESS (mm) (SD),Wetting time (s) (mean),Wetting time (s) (SD),Drug content (%) (mean),Drug content (%) (SD),Water absorption ratio (%) (Mean),Water absorption ratio (%) (SD),Mixing Time(min) (Mean),Mixing Time(min) (SD),DIAMETER(mm) (Mean),DIAMETER(mm) (SD),Tablet porosity (%) (Mean),Tablet porosity (%) (SD),Assay (%) (Mean),Assay (%) (SD),Moisture content (%) (Mean),Moisture content (%) (SD),Dispersion Time (s) (Mean),Dispersion Time (s) (SD),Cumulative Drug Release(%) (Mean),Cumulative Drug Release(%) (SD),DISINTEGRATION_TIME
1175,71,129.2,-1.3,3,1,2,91.5,9,132,-1.4,500,0,0,8,80,0,0,0,0,1,21,2,34,0,0,0,0,1,2.5,0,0,1,2.5,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,650,0.6,0.7,17.9,1.2,28.7,3.5,0,0.3,0,0,0,6,0.3,98.8,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5
412,32,395.5,1.9,3,6,2,94.8,28,805,-2.7,0.8,0,0,0,0,0,0,0,0,1,128.3,0,0,2,1.5,7,12.5,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,150,0,0,0,0,0,2.9,0,0.6,0,2.9,0,160,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
413,32,395.5,1.9,3,6,2,94.8,28,805,-2.7,0.8,0,0,0,0,0,0,0,0,1,126.8,0,0,2,3,7,12.5,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,150,0,0,0,0,0,2.8,0,0.7,0,2.7,0,126.3,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.7
414,32,395.5,1.9,3,6,2,94.8,28,805,-2.7,0.8,0,0,0,0,0,0,0,0,1,125.3,0,0,2,4.5,7,12.5,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,150,0,0,0,0,0,2.9,0,0.5,0,2.6,0,124,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.7
415,32,395.5,1.9,3,6,2,94.8,28,805,-2.7,0.8,0,0,0,0,0,0,0,0,1,128.3,0,0,2,1.5,7,12.5,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,150,0,0,0,0,0,2.9,0,1,0,2.7,0,53.3,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.7
1176,71,129.2,-1.3,3,1,2,91.5,9,132,-1.4,500,0,0,8,85,0,0,0,0,1,23,2,27,0,0,0,0,1,2.5,0,0,1,2.5,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,650,0.5,0.6,14.7,1.2,28.2,3.9,0,0.3,0,0,0,5.9,0.1,99.7,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8
416,32,395.5,1.9,3,6,2,94.8,28,805,-2.7,0.8,0,0,0,0,0,0,0,0,1,126.8,0,0,2,3,7,12.5,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,150,0,0,0,0,0,2.7,0,0.7,0,2.7,0,47,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.3
167,109,548.6,1.4,8,10,8,243,37,267,-1.9,5,0,0,0,0,0,0,4,20,1,349,0,0,0,0,6,20,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0.5,0.6,5.4,1.1,30,17.6,0.7,0.3,0,2.7,0.1,0,0,101.5,13.1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176
417,32,395.5,1.9,3,6,2,94.8,28,805,-2.7,0.8,0,0,0,0,0,0,0,0,1,125.3,0,0,2,4.5,7,12.5,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,150,0,0,0,0,0,2.6,0,0.9,0,2.7,0,45.3,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3
428,107,514.6,6.9,1,4,7,72.9,39,831,-9.2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,1,4,2,77,1,4,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,150,0.6,0.7,18.4,1.2,22.5,4.2,0,0.7,0,4.1,0,90,1.5,0,0,0.9,0.2,0,0,0,0,0,0,0,0,0,0,68,1,0,0,76
