num,API,Molecular Weight( g/mol),XLogP3-AA,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotational bond count,Topological surface area( A^2),Heavy atom count,Complexity,LogS,DOSE,Disintegrant,Dose (mg),Disintegrant,Dose (mg),Super_Disintegrant,Dose (mg),Super_Disintegrant,Dose (mg),Diluent,Dose (mg),Diluent,Dose (mg),Binder,Dose (mg),Binder,Dose (mg),Glidant,Dose (mg),Glidant,Dose (mg),Lubricant,Dose (mg),Lubricant,Dose (mg),Lubricant,Dose (mg),pH_modifier,Dose (mg),pH_modifier,Dose (mg),Solubilizer,Dose (mg),Sweeting_agent,Dose (mg),Sweeting_agent,Dose (mg),Viscosity_increasing,Dose (mg),Preservative,Dose (mg),Weight(mg),"Bulk Density
(g/cc , gm/ml , gm/cm³) (Mean)","Tapped Density
(g/cc , gm/ml , gm/cm³) (Mean)","Carr’s Compressibility Index
(%) (Mean)",Hausner Ratio (Mean),Angle of Repose (°) (Mean),HARDNESS,"HARDNESS      (kg/cm2 , kp , kgF)   (SD)",FRIABILITY(%) (mean),FRIABILITY(%) (SD),THICKNESS (mm) (mean),THICKNESS (mm) (SD),Wetting time (s) (mean),Wetting time (s) (SD),Drug content (%) (mean),Drug content (%) (SD),Water absorption ratio (%) (Mean),Water absorption ratio (%) (SD),Mixing Time(min) (Mean),Mixing Time(min) (SD),DIAMETER(mm) (Mean),DIAMETER(mm) (SD),Tablet porosity (%) (Mean),Tablet porosity (%) (SD),Assay (%) (Mean),Assay (%) (SD),Moisture content (%) (Mean),Moisture content (%) (SD),Dispersion Time (s) (Mean),Dispersion Time (s) (SD),Cumulative Drug Release(%) (Mean),Cumulative Drug Release(%) (SD),DISINTEGRATION_TIME
2,68,371.8,2.1,2,7,2,136,23,634,-4.4,8,0,0,0,0,0,0,0,0,0,0,2,81,0,0,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,100,0.5,0.5,14.8,1.2,19.4,3.5,0,0.1,0,5.1,0,0,0,93.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372
3,68,371.8,2.1,2,7,2,136,23,634,-4.4,8,0,0,0,0,0,0,0,0,0,0,2,72,2,9,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,100,0.4,0.5,14.3,1.2,20.2,3.7,0,0.1,0,5,0,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190
4,68,371.8,2.1,2,7,2,136,23,634,-4.4,8,0,0,0,0,0,0,0,0,0,0,2,69,2,12,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,100,0.4,0.4,13.2,1.2,20,3.8,0,0.1,0,5.2,0,0,0,97.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
5,68,371.8,2.1,2,7,2,136,23,634,-4.4,8,0,0,0,0,0,0,0,0,0,0,2,72,0,0,5,9,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,100,0.5,0.5,14.8,1.2,20.1,3.5,0,0.1,0,5,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252
6,68,371.8,2.1,2,7,2,136,23,634,-4.4,8,0,0,0,0,0,0,0,0,0,0,2,69,0,0,5,12,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,100,0.5,0.6,14.3,1.2,19.9,3.4,0,0.1,0,4.9,0,0,0,98.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218
7,68,371.8,2.1,2,7,2,136,23,634,-4.4,8,0,0,0,0,0,0,0,0,0,0,2,72,2,9,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,100,0.5,0.5,14.9,1.2,19.8,3.6,0,0.1,0,5.2,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307
8,68,371.8,2.1,2,7,2,136,23,634,-4.4,8,0,0,0,0,0,0,0,0,0,0,2,69,2,12,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,100,0.5,0.5,15.1,1.2,19.8,3.4,0,0.1,0,5,0,0,0,99.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280
37,20,461.8,2.9,3,5,8,53,29,443,-3.8,5,0,0,8,8,0,0,4,4,1,172,0,0,0,0,0,0,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,200,0,0,0,0,0,1.5,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
39,20,461.8,2.9,3,5,8,53,29,443,-3.8,5,0,0,8,16,0,0,4,4,1,164,0,0,0,0,0,0,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,200,0,0,0,0,0,2,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
40,20,461.8,2.9,3,5,8,53,29,443,-3.8,5,0,0,8,20,0,0,4,4,1,160,0,0,0,0,0,0,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,200,0,0,0,0,0,1.8,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
