MolecularWeight,XLogP3-AA,HydrogenBondDonorCount,HydrogenBondAcceptorCount,Rotationalbondcount,TopologicalSurfaceArea,HeavyAtomCount,Complexity,LogS,DOSE1,Disintegrant,Dose2,Disintegrant1,Dose3,Super_Disintegrant,Dose4,Super_Disintegrant1,Dose5,Diluent,Dose6,Diluent1,Dose7,Binder,Dose8,Binder1,Dose9,Glidant,Dose10,Glidant1,Dose11,Lubricant,Dose12,Lubricant1,Dose13,Lubricant2,Dose14,pH_modifier,Dose15,pH_modifier1,Dose16,Solubilizer,Dose17,Sweeting_agent,Dose18,Sweeting_agent1,Dose19,Viscosity_increasing,Dose20,Preservative,Dose21,Weight,BulkDensity,TappedDensity,CarrsCompressibilityIndex,HausnerRatio,AngleofRepose,DISINTEGRATION_TIME
0.345620023,0.62962963,0.25,0.105263158,0.238095238,0.215093085,0.362068966,0.522200772,0.505154639,0.018429487,0,0,0,0,0,0,0,0,0,0,0.666666667,0.215148465,0,0,1,0.011665889,1,0.033333333,0,0,1,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08045977,0,0,0,0,0,0.266666667
0.227189989,0.62037037,0,0.157894737,0.19047619,0.181515957,0.206896552,0.257722008,0.670103093,0.148637821,0,0,0,0,1,0.166666667,1,0.102739726,0,0,0.666666667,0.228988425,0,0,0,0,1,0.066666667,0,0,1,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195402299,0,0,0,0,0,0.072222222
0.229010239,0.407407407,0.25,0.157894737,0.142857143,0.278257979,0.224137931,0.36969112,0.618556701,0.158653846,0,0,1,0.035460993,1,0.138888889,0,0,1,0.091329761,0.666666667,0.270005033,0,0,0,0,1,0.02,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,1,0.028846154,0,0,0,0,0.252873563,0.352941176,0.000833333,0.364044944,0.048,0.559917355,0.1
0.194880546,0.481481481,0,0.052631579,0.095238095,0.121675532,0.224137931,0.314671815,0.628865979,0.014423077,0,0,0,0,0,0,1,0.054794521,0,0,0.666666667,0.926019124,0,0,1,0.037330845,1,0.133333333,0,0,1,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425287356,0.294117647,0.000714286,0.561797753,0.052,0.673553719,0.138888889
0.245051195,0.212962963,0.5,0.368421053,0.333333333,0.780585106,0.189655172,0.342664093,0.81443299,0.038461538,0,0,1,0.035460993,0,0,0,0,0,0,0,0,0,0,1,0.139990667,1,0.166666667,0,0,1,0.166666667,0,0,0,0,0,0,1,1,0,0,0.333333333,0.178571429,0,0,0,0,0,0,0.25862069,0.352941176,0.000833333,0.325842697,0.048,0.48553719,0.278333333
0.385551763,0.722222222,0.125,0.263157895,0.380952381,0.247672872,0.379310345,0.397683398,0.350515464,0.048477564,0,0,0,0,1,0.066666667,0,0,1,0.204578665,0.666666667,0.070457977,0,0,0,0,1,0.033333333,0,0,1,0.033333333,0,0,0,0,0,0,0,0,0,0,0.333333333,0.178571429,0,0,0,0,0,0,0.137931034,0.235294118,0.000595238,0.476404494,0.052,0.5,0.133333333
0.033105802,0.314814815,0.25,0.052631579,0.047619048,0.153257979,0.034482759,0.024131274,0.927835052,0.649439103,0,0,1,0.070921986,0,0,1,0.136986301,0,0,0.666666667,0.33467539,0,0,0,0,0,0,0,0,1,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540229885,0.235294118,0.000714286,0.487640449,0.052,0.66322314,0.235
0.385551763,0.722222222,0.125,0.263157895,0.380952381,0.247672872,0.379310345,0.397683398,0.350515464,0.048477564,0,0,1,0.021276596,0,0,0,0,1,0.204578665,0.666666667,0.070457977,0,0,0,0,1,0.033333333,0,0,1,0.033333333,0,0,0,0,0,0,0,0,0,0,0.333333333,0.178571429,0,0,0,0,0,0,0.137931034,0.235294118,0.000595238,0.357303371,0.048,0.520661157,0.1
0.216496018,0.537037037,0.125,0.157894737,0.047619048,0.185837766,0.224137931,0.306949807,0.670103093,0.038461538,0,0,0,0,0,0,1,0.102739726,0,0,0.666666667,0.090588827,0,0,0,0,1,0.066666667,0,0,1,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051724138,0.352941176,0.000595238,0.316853933,0.044,0.524793388,0.25
0.165073948,0.268518519,0.25,0.263157895,0.142857143,0.299202128,0.172413793,0.357142857,0.917525773,0.198717949,0,0,0,0,1,0.194444444,0,0,1,0.50365319,0,0,0,0,0,0,0,0,0,0,1,0.083333333,0.5,0.072222222,0,0,0,0,0,0,0,0,0.333333333,0.714285714,0,0,0,0,0,0,0.367816092,0,0,0,0,0,0.11
