MolecularWeight,XLogP3-AA,HydrogenBondDonorCount,HydrogenBondAcceptorCount,Rotationalbondcount,TopologicalSurfaceArea,HeavyAtomCount,Complexity,LogS,DOSE1,Disintegrant,Dose2,Disintegrant1,Dose3,Super_Disintegrant,Dose4,Super_Disintegrant1,Dose5,Diluent,Dose6,Diluent1,Dose7,Binder,Dose8,Binder1,Dose9,Glidant,Dose10,Glidant1,Dose11,Lubricant,Dose12,Lubricant1,Dose13,Lubricant2,Dose14,pH_modifier,Dose15,pH_modifier1,Dose16,Solubilizer,Dose17,Sweeting_agent,Dose18,Sweeting_agent1,Dose19,Viscosity_increasing,Dose20,Preservative,Dose21,Weight,BulkDensity,TappedDensity,CarrsCompressibilityIndex,HausnerRatio,AngleofRepose,DISINTEGRATION_TIME
0.311035267,0.444444444,0.375,0.263157895,0.095238095,0.304521277,0.327586207,0.666988417,0.762886598,0,0,0,0,0,0,0,0,0,1,0.312469557,0,0,0.5,0.007119127,1,0.058329445,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571,0.057692308,0,0,0,0,0.137931034,0,0,0,0,0,0.242777778
0.619567691,0.407407407,0.625,0.736842105,0.571428571,0.820478723,0.637931034,0.922779923,0.577319588,0.048477564,0,0,0,0,0,0,0,0,0,0,0.666666667,0.010065425,0,0,0,0,1,0.01,0.5,0.070301783,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022988506,0,0,0,0,0,0.277777778
0.330830489,0.638888889,0.125,0.210526316,0.19047619,0.244348404,0.327586207,0.443050193,0.443298969,0.038461538,0,0,0,0,1,0.088888889,0,0,1,0.073063809,0.666666667,0.306995471,0,0,0,0,1,0.166666667,0,0,1,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.195402299,0.294117647,0.000714286,0.534831461,0.052,0.533057851,0.444444444
0.55301479,1,0.125,0.210526316,0.571428571,0.317154255,0.568965517,0.756756757,0.113402062,0.008814103,0,0,0,0,0,0,1,0.032876712,0,0,0.666666667,0.232511324,0,0,0,0,0,0,0,0,1,0.053333333,0,0,0,0,0,0,1,0.071111111,0,0,0.333333333,0.057142857,0,0,0,0,0,0,0.103448276,0,0,0,0,0,0.044444444
0.1629124,0.537037037,0.25,0.157894737,0.238095238,0.296210106,0.155172414,0.170849421,0.670103093,0.399038462,0,0,0,0,1,0.277777778,1,0.273972603,1,0.535801266,0,0,0,0,0,0,0,0,0,0,1,0.166666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0.357142857,0,0,0,0,0,0,0.540229885,0.235294118,0.000833333,0.31011236,0.064,0.530991736,0.321666667
0.438452787,0.231481481,0.875,0.736842105,0.380952381,0.790558511,0.413793103,0.721042471,0.721649485,0.22275641,0,0,0,0,0,0,1,0.164383562,0,0,0.666666667,0.304479114,0,0,1,0.0419972,1,0.1,0,0,1,0.06,0.5,0.25,0,0,1,0.15,0,0,0,0,0,0,1,0.057692308,0,0,0.5,0.07,0.310344828,0.235294118,0.000595238,0.242696629,0.044,0.539256198,0.138888889
0.116154721,0.194444444,0.25,0.157894737,0.095238095,0.251662234,0.120689655,0.264478764,0.948453608,0.078525641,0,0,0,0,0,0,1,0.102739726,0,0,0.666666667,0.094363362,0,0,0,0,1,0.066666667,0,0,1,0.016666667,0.5,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08045977,0,0,0,0,0,0.138888889
0.199772469,0.259259259,0.375,0.315789474,0.047619048,0.438164894,0.137931034,0.366795367,0.75257732,0.048477564,0,0,1,0.028368794,0,0,0,0,1,0.280077935,0.666666667,0.100654253,0,0,0,0,1,0.133333333,0,0,1,0.066666667,0,0,0,0,0,0,0,0,0,0,0.333333333,0.142857143,0,0,0,0,0,0,0.195402299,0,0,0,0,0,0.147222222
0.385551763,0.722222222,0.125,0.263157895,0.380952381,0.247672872,0.379310345,0.397683398,0.350515464,0.098557692,0,0,0,0,0,0,1,0.256849315,0,0,0.666666667,0.126572723,0,0,0,0,0,0,0.5,0.172496571,1,0.066666667,0.5,0.111111111,0,0,0,0,0,0,0,0,0,0,0.714285714,0.115384615,0,0,0,0,0.195402299,0,0,0,0,0,0.431666667
0.330830489,0.638888889,0.125,0.210526316,0.19047619,0.244348404,0.327586207,0.443050193,0.443298969,0.038461538,0,0,0,0,1,0.133333333,0,0,1,0.073063809,0.666666667,0.296930045,0,0,0,0,1,0.166666667,0,0,1,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.195402299,0.294117647,0.000714286,0.541573034,0.052,0.661157025,0.361111111
0.446530148,0.907407407,0.125,0.157894737,0.333333333,0.231715426,0.517241379,0.692084942,0.092783505,0.018429487,0.75,0.020708447,0,0,0,0,0,0,1,0.073794447,0.666666667,0.125817816,0,0,0,0,0,0,0,0,1,0.1,0,0,0.8,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08045977,0.294117647,0.000714286,0.37752809,0.048,0.698347107,0.172222222
0.412286689,0.314814815,0.25,0.368421053,0.333333333,0.458111702,0.431034483,0.773166023,0.824742268,0.008413462,0,0,1,0.019503546,1,0.061111111,0,0,1,0.301997077,0.666666667,0.022647207,0,0,0,0,1,0.016666667,0,0,1,0.016666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137931034,0.705882353,0.001785714,0.546067416,0.052,0.332644628,0.116666667
0.229010239,0.407407407,0.25,0.157894737,0.142857143,0.278257979,0.224137931,0.36969112,0.618556701,0.158653846,0,0,0,0,1,0.037777778,1,0.007534247,0,0,0.666666667,0.149723201,0,0,0,0,0,0,0,0,1,0.05,0.5,0.083333333,0,0,1,0.075,0,0,0,0,0,0,1,0.028846154,0,0,0,0,0.137931034,0,0,0,0,0,0.076111111
0.330830489,0.638888889,0.125,0.210526316,0.19047619,0.244348404,0.327586207,0.443050193,0.443298969,0.038461538,0.75,0.027247956,1,0.010638298,0,0,0,0,1,0.170482221,0,0,0,0,0,0,1,0.033333333,0,0,1,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08045977,0.235294118,0.000595238,0.498876404,0.052,0.518595041,0.277777778
0.485210466,0.398148148,1,0.473684211,0.380952381,0.797207447,0.482758621,0.147683398,0.845360825,0.008413462,0,0,0,0,0,0,1,0.054794521,1,0.024354603,0.666666667,0.180674383,0,0,0,0,1,0.066666667,0,0,1,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003846154,0,0,0,0,0.08045977,0,0,0,0,0,0.333333333
0.438452787,0.231481481,0.875,0.736842105,0.380952381,0.790558511,0.413793103,0.721042471,0.721649485,0.110376603,0,0,1,0.019858156,0,0,0,0,0,0,0.666666667,0.539255159,0,0,0,0,1,0.093333333,0,0,1,0.046666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287356322,0,0,0,0,0,0.194444444
0.264050057,0.666666667,0.25,0.210526316,0.333333333,0.240691489,0.24137931,0.286679537,0.546391753,0.198717949,0,0,0.75,0.021276596,0,0,0,0,1,0.175353142,0,0,0.25,0.033222591,0,0,1,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.357142857,0,0,0,0,0,0,0.195402299,0.235294118,0.000714286,0.528089888,0.048,0.743801653,0.383333333
