num,API num,API,DOSE,Microcrystalline Cellulose (Avicel),Mannitol,Sodium croscarmellose,Aspartame,Hydroxypropyl Cellulose (HPC),Magnesium Stearate,Gum,Chitosan,Sodium saccharin,Talc,Sodium lauryl sulfate(SLS),Sodium stearyl fumarate ,Polyvinylpyrrolidone (Crospovidone),Sodium starch glycolate,polyvinyl acetate,Lactose,Colloidal silicon dioxide (Aerosil),Citric acid,Menthol,B-cyclodextrin,Stevia leaf Powder ,Clove oil ,Starch,sodium bicarbonate (NaHCO3),Plantago ovata,Pharmaburst,parteck,Polyethylene Glycol,Eudragit EPO,Precirol,acesulfame potassium,Polacrilin Potassium,Acryflow-L,Indion,Lubritose,Sucralose,Silicon dioxide,Neotame,Sucrose,Ocimum sanctum seed powder,Agar,Calcium carbonate,Sodium Saccharine ,Prosolv ODT,Cellactose,Quinoline yellow lake,Aerosol,Sodium behenate,dibasic calcium phosphate,Mucilage powder,GNSP,Ludipress,Kaolin,Methyl paraben,Camphor,CPE,Weight(mg),HARDNESS,FRIABILITY,THICKNESS (mm) (mean),Wetting time (s) (mean),Drug content (%) (mean),DISINTEGRATION_TIME,Water absorption ratio,DIAMETER(mm) (Mean),"Bulk Density
(g/cc , gm/ml , gm/cm³) (Mean)","Tapped Density
(g/cc , gm/ml , gm/cm³) (Mean)","Carr’s Compressibility Index
(%) (Mean)",Hausner Ratio (Mean),Angle of Repose (°) (Mean),Molecular Weight( g/mol),XLogP3-AA,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotational bond count,Topological surface area( A^2),Heavy atom count,Complexity,LogS
1,1-May,Montelukast sodium,5.2,18,84.14,9,0.36,2.1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,3.67,0.5,0,17.4,100.2,9.5,206.9,0,0,0,0,0,0,608.2,7.86,1,5,12,98.6,42,898,-9.01
2,17-1,Lornoxicam,8,81,0,0,0,0,2,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.5,0.1088,5.1,0,93.6,372,0,0,0.463,0.543,14.81,1.18,19.42,371.8,2.1,2,7,2,136,23,634,-4.37
3,17-2,Lornoxicam,8,72,0,0,0,0,2,9,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.7,0.1267,5,0,99.94,190,0,0,0.414,0.479,14.26,1.16,20.18,371.8,2.1,2,7,2,136,23,634,-4.37
4,17-3,Lornoxicam,8,69,0,0,0,0,2,12,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.75,0.1188,5.2,0,97.6,102,0,0,0.395,0.444,13.17,1.15,19.95,371.8,2.1,2,7,2,136,23,634,-4.37
5,17-4,Lornoxicam,8,72,0,0,0,0,2,0,9,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.5,0.1012,5,0,90.97,252,0,0,0.463,0.543,14.81,1.18,20.08,371.8,2.1,2,7,2,136,23,634,-4.37
6,17-5,Lornoxicam,8,69,0,0,0,0,2,0,12,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.4,0.1147,4.9,0,98.72,218,0,0,0.471,0.569,14.3,1.18,19.88,371.8,2.1,2,7,2,136,23,634,-4.37
7,17-6,Lornoxicam,8,72,0,0,0,0,2,9,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.6,0.1207,5.2,0,91.98,307,0,0,0.468,0.545,14.88,1.17,19.76,371.8,2.1,2,7,2,136,23,634,-4.37
8,17-7,Lornoxicam,8,69,0,0,0,0,2,12,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.4,0.1023,5,0,99.4,280,0,0,0.466,0.549,15.11,1.17,19.82,371.8,2.1,2,7,2,136,23,634,-4.37
9,63-8,Aceclofenac,100,133,0,30,3,0,2,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,3.8,0.24,0,13,0,16,0,0,0,0,0,0,0,354.2,4.3,2,5,7,75.6,23,411,-4.76
10,63-9,Aceclofenac,100,133,0,30,3,0,2,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,3.7,0.25,0,14,0,17,0,0,0,0,0,0,0,354.2,4.3,2,5,7,75.6,23,411,-4.76
