Molecular Weight( g/mol),XLogP3-AA,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotational bond count,Topological surface area( A^2),Heavy atom count,Complexity,LogS,DOSE,Microcrystalline Cellulose (Avicel),Mannitol,Magnesium Stearate,Talc,Weight(mg),"Bulk Density
(g/cc , gm/ml , gm/cm³) (Mean)","Tapped Density
(g/cc , gm/ml , gm/cm³) (Mean)","Carr’s Compressibility Index
(%) (Mean)",Hausner Ratio (Mean),Angle of Repose (°) (Mean),Sodium croscarmellose,Aspartame,Hydroxypropyl Cellulose (HPC),Gum,Chitosan,Sodium saccharin,Sodium lauryl sulfate(SLS),Sodium stearyl fumarate ,Polyvinylpyrrolidone (Crospovidone),Sodium starch glycolate,polyvinyl acetate,Lactose,Colloidal silicon dioxide (Aerosil),Citric acid,Menthol,B-cyclodextrin,Stevia leaf Powder ,Clove oil ,Starch,sodium bicarbonate (NaHCO3),Plantago ovata,Pharmaburst,parteck,Polyethylene Glycol,Eudragit EPO,Precirol,acesulfame potassium,Polacrilin Potassium,Acryflow-L,Indion,Lubritose,Sucralose,Silicon dioxide,Neotame,Sucrose,Ocimum sanctum seed powder,Agar,Calcium carbonate,Sodium Saccharine ,Prosolv ODT,Cellactose,Quinoline yellow lake,Aerosol,Sodium behenate,dibasic calcium phosphate,Mucilage powder,GNSP,Ludipress,Kaolin,Methyl paraben,Camphor,CPE,DISINTEGRATION_TIME
0.470469812,1,0.125,0.210526316,0.545454545,0.317154255,0.445945946,0.756756757,0.108220604,0.00891337,0.278787116,0,0.066666667,0,0.141870709,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0.04109589,0,0,0,0,0,0,0,0,0,0,0.12225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0.221403821,0.55204461,0.375,0.315789474,0.409090909,0.361702128,0.175675676,0.224903475,0.715920916,0.298948423,0.358580775,0,0.066666667,0.033333333,0.313501144,0.246987952,0.000583333,0.366741573,0.047672462,0.476042957,0,0,0,0,0,0.25,0,0,0.01369863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0.169941346,0.260223048,0.375,0.315789474,0.045454545,0.438164894,0.108108108,0.366795367,0.750260146,0.023535303,0.179919477,0,0.133333333,0.066666667,0.084668192,0.265060241,0.000614286,0.331685393,0.046871244,0.404997935,0.044444444,0,0,0,0,0,0,0,0.04109589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66
0.136713835,0.511152416,0.125,0.105263158,0.181818182,0.098071809,0.135135135,0.162162162,0.777315297,0.098647972,0.100654253,0,0.133333333,0.166666667,0.14187643,0.289156627,0.000702381,0.505393258,0.048874289,0.673688558,0,0,0,0,0,0.6,0,0,0,0,0,0.102880658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
0.606748098,0.641263941,0.625,0.684210526,0.318181818,0.587765957,0.581081081,1,0.621227888,0.198798197,0.200050327,0.066983315,0.166666667,0.166666667,0.256292906,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068493151,0,0,0,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,1,0,0,0,6.8
0.221403821,0.55204461,0.375,0.315789474,0.409090909,0.361702128,0.175675676,0.224903475,0.715920916,0.298948423,0.359838953,0,0.066666667,0.033333333,0.313501144,0.259036145,0.000595238,0.314606742,0.046470635,0.494836844,0,0,0,0,0,0.25,0,0,0.010273973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0.468437252,0.691449814,0.5,0.578947368,0.363636364,0.60106383,0.432432432,0.418918919,0.464099896,0.008512769,0.226472068,0.082815735,0,0.1,0.14187643,0.337349398,0.00077381,0.311011236,0.046470635,0.562370921,0,0.107142857,0,0,0,0,0,0.055555556,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0.136713835,0.511152416,0.125,0.105263158,0.181818182,0.098071809,0.135135135,0.162162162,0.777315297,0.098647972,0.088072471,0,0.133333333,0.166666667,0.14187643,0.295180723,0.000714286,0.494831461,0.048874289,0.706526229,0,0,0,0,0,0.6,0,0,0,0,0,0.120027435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7
0.113426508,0.29739777,0.5,0.157894737,0.227272727,0.231050532,0.108108108,0.109073359,0.850156087,0.008112168,0.088072471,0,0.033333333,0,0.084668192,0.337349398,0.000869048,0.523146067,0.05207916,0.640231309,0,0,0,0,0,0,0,0,0.034246575,0,0,0.179012346,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01
0.606748098,0.641263941,0.625,0.684210526,0.318181818,0.587765957,0.581081081,1,0.621227888,0.198798197,0.187468546,0.066983315,0.166666667,0.166666667,0.256292906,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102739726,0,0,0,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,1,0,0,0,7.2
